SKU,Quantity,URL,Thumbnail Image,Name,RoHS Compliance,Price (USD)
BOB-12708,5,https://www.sparkfun.com/products/12708,#,Real Time Clock DS1307,1,14.95
BOB-13717,5,https://www.sparkfun.com/products/13717,#,Pi Wedge,1,9.95
CAB-00512,15,https://www.sparkfun.com/products/512,#,USB-B Cable 6 foot,1,3.95
CAB-11301,5,https://www.sparkfun.com/products/11301,#,USB Mini-B Cable 6 Foot,1,3.95
CAB-13028,5,https://www.sparkfun.com/products/13028,#,Pi GPIO Cable,1,2.5
COM-00097,50,https://www.sparkfun.com/products/97,#,Button,1,0.35
COM-00100,15,https://www.sparkfun.com/products/100,#,SPDT Relay,1,1.95
COM-00105,15,https://www.sparkfun.com/products/105,#,TriColor LED,1,1.95
COM-07950,20,https://www.sparkfun.com/products/7950,#,Piezo Speaker,1,1.95
COM-08588,15,https://www.sparkfun.com/products/8588,#,Diode 1N4148,1,0.15
COM-08636,5,https://www.sparkfun.com/products/8636,#,Analog to Digital Converter MCP3002,1,2.3
COM-08642,5,https://www.sparkfun.com/products/8642,#,Reed Switch,1,1.95
COM-08642,5,https://www.sparkfun.com/products/8642,#,Insulated Reed Switch,1,1.95
COM-08643,10,https://www.sparkfun.com/products/8643,#,Magnet Cube,1,1.5
COM-09312,5,https://www.sparkfun.com/products/9312,#,Hall Effect Sensor,1,0.95
COM-09349,10,https://www.sparkfun.com/products/9349,#,IR LED,1,0.95
COM-09590,50,https://www.sparkfun.com/products/9590,#,Red LED,1,0.35
COM-09592,50,https://www.sparkfun.com/products/9592,#,Green LED,1,0.35
COM-09594,50,https://www.sparkfun.com/products/9594,#,Yellow LED,1,0.35
COM-09806,15,https://www.sparkfun.com/products/9806,#,10K Trim Potentiometer,1,0.95
COM-10601,5,https://www.sparkfun.com/products/10601,#,Reed Switch (Insulated),1,1.95
COM-11372,50,https://www.sparkfun.com/products/11372,#,Blue LED,1,0.5
COM-11507,200,https://www.sparkfun.com/products/11507,#,Resistor 330 Ohm,1,0.95
COM-11508,200,https://www.sparkfun.com/products/11508,#,Resistor 10K Ohm,1,0.95
COM-11853,20,https://www.sparkfun.com/products/11853,#,Resistor 1.0M Ohm,1,0.15
COM-13004,5,https://www.sparkfun.com/products/13004,#,MicroSD USB Reader,1,4.95
COM-13689,20,https://www.sparkfun.com/products/13689,#,NPN Transistor,1,0.5
COM-13699,15,https://www.sparkfun.com/products/13699,#,Shift Register 8-bit,1,0.95
COM-13833,5,https://www.sparkfun.com/products/13833,#,MicroSD 16GB with Adapter,1,19.95
DEV-09873,5,https://www.sparkfun.com/products/9873,#,FTDI Breakout,1,14.95
DEV-11224,15,https://www.sparkfun.com/products/11224,#,Arduino Uno,1,29.95
DEV-11235,15,https://www.sparkfun.com/products/11235,#,Arduino and Breadboard Holder,1,3.95
DEV-13825,5,https://www.sparkfun.com/products/13825,#,Raspberry Pi 3,1,39.95
